filename,original_path,size_bytes,recovery_status,file_type,sector_start,sector_end,preview_available,hash
$RNB4CSY.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RNB4CSY.xlsx,95238,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$RNBWVPD.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RNBWVPD.pdf,334667,intact,pdf,0,0,True,390698319ab1e093f14966dcafb88bd0
$RNFS56L.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RNFS56L.pdf,3817111,intact,pdf,0,0,True,4b883ae64c8a5f3c59abff5faca18d3e
$RNSH2E9.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RNSH2E9.xlsx,124527,intact,xlsx,0,0,False,27d1ac197c92e8f9ae3905157a4890d2
$RNWJ69G.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RNWJ69G.pdf,253630,intact,pdf,0,0,True,fa9fe13a75bef3becf20771fc9e4d560
$RNXV2GL.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RNXV2GL.xlsx,48430,intact,xlsx,0,0,False,27d1ac197c92e8f9ae3905157a4890d2
$RNXW0VR.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RNXW0VR.pdf,209924,intact,pdf,0,0,True,5e59ee5de288e5880f95619feb40d5a8
$RNYZWNC.mp4,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RNYZWNC.mp4,55108942,intact,mp4,0,0,False,e164d911abb6a194b7c1fe182a297aad
$RO07JWI.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RO07JWI.xlsx,29782,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$ROADNY7.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$ROADNY7.pdf,10055067,intact,pdf,0,0,True,574ff0baf3fe0f69bb8d8843aa2bdde5
$ROGQLOC.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$ROGQLOC.pdf,1511874,intact,pdf,0,0,True,95c2c793bb18fd89f979cdf1ffdc7443
$ROHHX9S.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$ROHHX9S.xlsx,60056,intact,xlsx,0,0,False,ed0d4b81349a3be42706f04ff85f3efd
$RPPSZN5.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RPPSZN5.xlsx,14830,intact,xlsx,0,0,False,f39afe1d7f8f526363530b3177d26e6a
$RPWV3WB.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RPWV3WB.xlsx,27891,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RQE2OU8.zip,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RQE2OU8.zip,1613283,intact,zip,0,0,False,8dc40c9a364c2559960532eed9da28ca
$RQH2VTQ.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RQH2VTQ.xlsx,1134408,intact,xlsx,0,0,False,b63a44cc35d04fe70c3d27ce862bbf69
$RQKLG71.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RQKLG71.xlsx,1135864,intact,xlsx,0,0,False,3894555b611e57045c0002fd42cda9c1
$RQXM7N5.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RQXM7N5.xlsx,473111,intact,xlsx,0,0,False,3dadad9cb0d5457a76b5218c8d2ff387
$RR7BLGU.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RR7BLGU.xlsx,37728,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RRV46N9.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RRV46N9.pdf,11223700,intact,pdf,0,0,True,4c924191dde8bda725afd627e497197b
$RSA840J.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RSA840J.pdf,27526460,intact,pdf,0,0,True,0c911b95b0093a4f2cbb3244f445421a
$RSN4NKG.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RSN4NKG.xlsx,107365,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$RSOZXCY.docx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RSOZXCY.docx,0,intact,docx,0,0,False,
$RTX9HWU.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RTX9HWU.pdf,10337824,intact,pdf,0,0,True,477edea72f5a457a3bba7b9d898c8d25
$RU47OMP.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RU47OMP.xlsx,51197,intact,xlsx,0,0,False,d22a17b37927623e562b627bd81c64b9
$RU5MANC.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RU5MANC.xlsx,72631,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$RUETXMK.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RUETXMK.pdf,210186,intact,pdf,0,0,True,ff95ad26e90004182c86d3e595543450
$RUV5LPP.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RUV5LPP.xlsx,19929930,intact,xlsx,0,0,False,69bb256827096832db8581a6370d0e90
$RV2ACRO.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RV2ACRO.xlsx,20193455,intact,xlsx,0,0,False,5c0f38d795cf16cd96887359543d188e
$RV5730Z.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RV5730Z.pdf,201959,intact,pdf,0,0,True,3881f2017f202a0c63017836792da0c6
$RV96D0G.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RV96D0G.xlsx,23191,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RVG476O.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RVG476O.xlsx,71334,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$RVL18QV.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RVL18QV.xlsx,53138,intact,xlsx,0,0,False,d22a17b37927623e562b627bd81c64b9
$RWIHRYG.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RWIHRYG.xlsx,22414,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RWLV43G.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RWLV43G.xlsx,25677,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
